0.785398, 0, 0.261799, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 0.261799, 0, 0, 0, 0, 0
1.0472, 0, 0.261799, 0, 0, 0, 0, 0
1.0472, 0, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 0.261799, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 0.261799, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 0.261799, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 0.261799, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 0.261799, 0, 0, 0, 0, 0
1.309, 0, 0.261799, 0, 0, 0, 0, 0
1.309, 0, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 0.261799, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 0.261799, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 0.261799, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 0.261799, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 0.261799, 0, 0, 0, 0, 0
1.5708, 0, 0.261799, 0, 0, 0, 0, 0
1.5708, 0, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 0.261799, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 0.261799, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 0.261799, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 0.261799, 1.309, 1.309, 1.309, 1.309, 1.309
0, 0, 0.523599, 0, 0, 0, 0, 0
0, 0, 0.523599, 0, 0, 0, 0, 0
0, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
0.261799, 0, 0.523599, 0, 0, 0, 0, 0
0.261799, 0, 0.523599, 0, 0, 0, 0, 0
0.261799, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.261799, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.261799, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.261799, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.261799, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
0.523599, 0, 0.523599, 0, 0, 0, 0, 0
0.523599, 0, 0.523599, 0, 0, 0, 0, 0
0.523599, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.523599, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.523599, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.523599, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.523599, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
0.785398, 0, 0.523599, 0, 0, 0, 0, 0
0.785398, 0, 0.523599, 0, 0, 0, 0, 0
0.785398, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.785398, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.785398, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.785398, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.785398, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 0.523599, 0, 0, 0, 0, 0
1.0472, 0, 0.523599, 0, 0, 0, 0, 0
1.0472, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 0.523599, 0, 0, 0, 0, 0
1.309, 0, 0.523599, 0, 0, 0, 0, 0
1.309, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 0.523599, 0, 0, 0, 0, 0
1.5708, 0, 0.523599, 0, 0, 0, 0, 0
1.5708, 0, 0.523599, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 0.523599, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 0.523599, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 0.523599, 1.309, 1.309, 1.309, 1.309, 1.309
0, 0, 0.785398, 0, 0, 0, 0, 0
0, 0, 0.785398, 0, 0, 0, 0, 0
0, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
0.261799, 0, 0.785398, 0, 0, 0, 0, 0
0.261799, 0, 0.785398, 0, 0, 0, 0, 0
0.261799, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.261799, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.261799, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.261799, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.261799, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
0.523599, 0, 0.785398, 0, 0, 0, 0, 0
0.523599, 0, 0.785398, 0, 0, 0, 0, 0
0.523599, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.523599, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.523599, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.523599, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.523599, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
0.785398, 0, 0.785398, 0, 0, 0, 0, 0
0.785398, 0, 0.785398, 0, 0, 0, 0, 0
0.785398, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.785398, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.785398, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.785398, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.785398, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 0.785398, 0, 0, 0, 0, 0
1.0472, 0, 0.785398, 0, 0, 0, 0, 0
1.0472, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 0.785398, 0, 0, 0, 0, 0
1.309, 0, 0.785398, 0, 0, 0, 0, 0
1.309, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 0.785398, 0, 0, 0, 0, 0
1.5708, 0, 0.785398, 0, 0, 0, 0, 0
1.5708, 0, 0.785398, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 0.785398, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 0.785398, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 0.785398, 1.309, 1.309, 1.309, 1.309, 1.309
0, 0, 1.0472, 0, 0, 0, 0, 0
0, 0, 1.0472, 0, 0, 0, 0, 0
0, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
0.261799, 0, 1.0472, 0, 0, 0, 0, 0
0.261799, 0, 1.0472, 0, 0, 0, 0, 0
0.261799, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.261799, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.261799, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.261799, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.261799, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
0.523599, 0, 1.0472, 0, 0, 0, 0, 0
0.523599, 0, 1.0472, 0, 0, 0, 0, 0
0.523599, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.523599, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.523599, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.523599, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.523599, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
0.785398, 0, 1.0472, 0, 0, 0, 0, 0
0.785398, 0, 1.0472, 0, 0, 0, 0, 0
0.785398, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.785398, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.785398, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.785398, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.785398, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 1.0472, 0, 0, 0, 0, 0
1.0472, 0, 1.0472, 0, 0, 0, 0, 0
1.0472, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 1.0472, 0, 0, 0, 0, 0
1.309, 0, 1.0472, 0, 0, 0, 0, 0
1.309, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 1.0472, 0, 0, 0, 0, 0
1.5708, 0, 1.0472, 0, 0, 0, 0, 0
1.5708, 0, 1.0472, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 1.0472, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 1.0472, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 1.0472, 1.309, 1.309, 1.309, 1.309, 1.309
0, 0, 1.309, 0, 0, 0, 0, 0
0, 0, 1.309, 0, 0, 0, 0, 0
0, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
0.261799, 0, 1.309, 0, 0, 0, 0, 0
0.261799, 0, 1.309, 0, 0, 0, 0, 0
0.261799, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.261799, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.261799, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.261799, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.261799, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
0.523599, 0, 1.309, 0, 0, 0, 0, 0
0.523599, 0, 1.309, 0, 0, 0, 0, 0
0.523599, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.523599, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.523599, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.523599, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.523599, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
0.785398, 0, 1.309, 0, 0, 0, 0, 0
0.785398, 0, 1.309, 0, 0, 0, 0, 0
0.785398, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.785398, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.785398, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.785398, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.785398, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 1.309, 0, 0, 0, 0, 0
1.0472, 0, 1.309, 0, 0, 0, 0, 0
1.0472, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 1.309, 0, 0, 0, 0, 0
1.309, 0, 1.309, 0, 0, 0, 0, 0
1.309, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 1.309, 0, 0, 0, 0, 0
1.5708, 0, 1.309, 0, 0, 0, 0, 0
1.5708, 0, 1.309, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 1.309, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 1.309, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 1.309, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 1.309, 1.309, 1.309, 1.309, 1.309, 1.309
0, 0, 1.5708, 0, 0, 0, 0, 0
0, 0, 1.5708, 0, 0, 0, 0, 0
0, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
0.261799, 0, 1.5708, 0, 0, 0, 0, 0
0.261799, 0, 1.5708, 0, 0, 0, 0, 0
0.261799, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.261799, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.261799, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.261799, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.261799, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
0.523599, 0, 1.5708, 0, 0, 0, 0, 0
0.523599, 0, 1.5708, 0, 0, 0, 0, 0
0.523599, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.523599, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.523599, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.523599, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.523599, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
0.785398, 0, 1.5708, 0, 0, 0, 0, 0
0.785398, 0, 1.5708, 0, 0, 0, 0, 0
0.785398, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
0.785398, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
0.785398, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
0.785398, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
0.785398, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
1.0472, 0, 1.5708, 0, 0, 0, 0, 0
1.0472, 0, 1.5708, 0, 0, 0, 0, 0
1.0472, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.0472, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.0472, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.0472, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.0472, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
1.309, 0, 1.5708, 0, 0, 0, 0, 0
1.309, 0, 1.5708, 0, 0, 0, 0, 0
1.309, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.309, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.309, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.309, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.309, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 1.5708, 0, 0, 0, 0, 0
1.5708, 0, 1.5708, 0, 0, 0, 0, 0
1.5708, 0, 1.5708, 0.261799, 0.261799, 0.261799, 0.261799, 0.261799
1.5708, 0, 1.5708, 0.523599, 0.523599, 0.523599, 0.523599, 0.523599
1.5708, 0, 1.5708, 0.785398, 0.785398, 0.785398, 0.785398, 0.785398
1.5708, 0, 1.5708, 1.0472, 1.0472, 1.0472, 1.0472, 1.0472
1.5708, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
1.5708, 0, 1.5708, 1.309, 1.309, 1.309, 1.309, 1.309
